City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,Huarmey,-40.8135,-62.9967,299.1,32,98,3.25,AR,2021-04-02 21:22:12
201,Huarmey,61.1417,45.9144,268.67,96,100,0.43,RU,2021-04-02 21:22:12
202,Huarmey,50.0334,-66.8654,271.48,74,100,5.66,CA,2021-04-02 21:22:12
203,Huarmey,64.8569,-147.8028,260.37,61,75,1.19,US,2021-04-02 21:20:30
204,Huarmey,22.5667,83.4667,295.15,8,1,3.09,IN,2021-04-02 21:22:13
205,Huarmey,-32.035,-52.0986,296.15,64,20,4.12,BR,2021-04-02 21:22:13
206,Huarmey,-20.5167,57.5167,297.15,100,40,1.54,MU,2021-04-02 21:22:13
207,Huarmey,64.2539,-15.2082,279.6,58,3,3.87,IS,2021-04-02 21:22:14
208,Huarmey,50.2536,-96.0612,287.59,61,100,5.36,CA,2021-04-02 21:22:14
209,Huarmey,5.5167,5.75,300.03,80,16,2.29,NG,2021-04-02 21:22:14
210,Huarmey,51.226,-58.6502,275.54,99,100,4.76,CA,2021-04-02 21:22:14
211,Huarmey,-38.65,-72.2333,292.15,68,40,4.63,CL,2021-04-02 21:22:15
212,Huarmey,46.6166,10.7002,292.15,100,75,2.57,IT,2021-04-02 21:22:15
213,Huarmey,-21.15,149.2,294.15,83,75,7.2,AU,2021-04-02 21:22:15
214,Huarmey,-16.7833,-151.5,300.53,73,9,1.29,PF,2021-04-02 21:22:16
215,Huarmey,38.0833,138.4333,286.15,71,0,3.6,JP,2021-04-02 21:22:16
216,Huarmey,60.4667,166.1,257.78,89,79,1.9,RU,2021-04-02 21:22:16
217,Huarmey,-17.7125,-39.2481,298.63,80,46,2.71,BR,2021-04-02 21:22:17
218,Huarmey,54.9102,9.8987,279.15,81,3,5.14,DK,2021-04-02 21:22:17
219,Huarmey,59.0556,80.8572,273.2,97,100,5.9,RU,2021-04-02 21:22:17
220,Huarmey,31.8111,121.655,289.26,94,100,4.38,CN,2021-04-02 21:22:18
221,Huarmey,25.0213,37.2685,293.01,49,0,5.99,SA,2021-04-02 21:22:03
222,Huarmey,41.1702,75.8106,264.79,50,1,1.26,KG,2021-04-02 21:21:21
223,Huarmey,-36.777,-59.8585,292.6,74,17,2.6,AR,2021-04-02 21:22:18
224,Huarmey,37.8333,12.6667,285.15,71,0,2.57,IT,2021-04-02 21:17:27
225,Huarmey,-22.92,-42.5103,299.15,83,20,5.14,BR,2021-04-02 21:22:19
226,Huarmey,-37.5662,143.8496,288.14,60,0,2.37,AU,2021-04-02 21:22:19
227,Huarmey,8.0333,-2.8,304.11,26,84,1.65,CI,2021-04-02 21:22:19
228,Huarmey,-15.4311,-74.6158,299.07,63,9,4.42,PE,2021-04-02 21:22:20
229,Huarmey,77.484,-69.3632,246.03,76,100,4.42,GL,2021-04-02 21:22:20
230,Huarmey,5.0314,25.1361,298.24,56,91,1.45,CF,2021-04-02 21:22:20
231,Huarmey,51.0333,-4.2167,281.48,75,2,4.02,GB,2021-04-02 21:22:21
232,Huarmey,0.267,36.5389,289.94,81,100,1.11,KE,2021-04-02 21:22:21
233,Huarmey,64.8989,45.7622,271.06,98,100,0.78,RU,2021-04-02 21:22:21
234,Huarmey,63.8424,-22.4338,278.15,81,90,7.2,IS,2021-04-02 21:22:22
235,Huarmey,42.9019,133.9064,277.69,61,100,3.15,RU,2021-04-02 21:22:22
236,Huarmey,68.2191,-135.0107,252.15,59,100,1.54,CA,2021-04-02 21:22:22
237,Huarmey,-41.45,147.1667,285.15,100,8,3.6,AU,2021-04-02 21:22:22
238,Huarmey,19.1059,37.3321,297.0,64,30,5.9,SD,2021-04-02 21:22:23
239,Huarmey,65.5333,72.5167,270.93,97,100,3.88,RU,2021-04-02 21:22:23
240,Huarmey,55.8393,13.3039,277.59,77,2,1.34,SE,2021-04-02 21:22:24
241,Huarmey,-38.5473,-58.7368,293.15,64,99,3.23,AR,2021-04-02 21:22:24
242,Huarmey,-2.4667,-78.1667,299.15,65,20,4.63,EC,2021-04-02 21:22:24
243,Huarmey,26.1842,127.7558,295.15,100,75,1.54,JP,2021-04-02 21:22:25
244,Huarmey,-0.8667,134.0833,298.0,79,100,1.25,ID,2021-04-02 21:22:25
245,Huarmey,62.55,155.55,252.26,99,93,2.37,RU,2021-04-02 21:22:25
246,Huarmey,68.75,161.3,252.41,80,100,2.75,RU,2021-04-02 21:22:26
247,Huarmey,-9.4333,159.95,300.54,72,98,1.07,SB,2021-04-02 21:22:26
248,Huarmey,-21.3393,55.4781,298.15,88,75,6.69,RE,2021-04-02 21:22:26
249,Huarmey,-34.0033,24.7314,285.93,94,0,0.45,ZA,2021-04-02 21:22:26
250,Huarmey,-6.1349,12.3689,300.81,81,95,2.65,AO,2021-04-02 21:22:27
251,Huarmey,16.5833,82.0167,298.04,97,84,1.6,IN,2021-04-02 21:22:27
252,Huarmey,-0.9131,122.8766,298.65,75,100,0.76,ID,2021-04-02 21:22:27
253,Huarmey,56.9413,47.2499,275.64,99,100,5.02,RU,2021-04-02 21:22:28
254,Huarmey,5.4802,-53.2011,297.21,92,100,4.48,GF,2021-04-02 21:22:28
255,Huarmey,27.3747,87.2039,288.92,23,0,2.61,NP,2021-04-02 21:22:28
256,Huarmey,-41.0667,145.9167,287.19,89,1,2.42,AU,2021-04-02 21:22:29
257,Huarmey,-26.6481,15.1594,294.26,48,0,6.31,NA,2021-04-02 21:21:56
258,Huarmey,-13.4408,-49.1486,299.08,76,98,0.9,BR,2021-04-02 21:22:29
259,Huarmey,42.8,93.45,281.76,16,0,3.07,CN,2021-04-02 21:22:29
260,Huarmey,35.9911,-106.0806,292.15,15,75,0.88,US,2021-04-02 21:22:30
261,Huarmey,60.3725,93.0408,268.53,92,100,4.51,RU,2021-04-02 21:22:30
262,Huarmey,67.6713,53.087,265.07,95,99,2.81,RU,2021-04-02 21:22:30
263,Huarmey,4.9247,6.2642,299.79,80,53,2.59,NG,2021-04-02 21:18:04
264,Huarmey,-21.05,31.6667,292.76,61,0,1.72,ZW,2021-04-02 21:22:31
265,Huarmey,22.7886,100.9748,289.38,36,8,0.6,CN,2021-04-02 21:22:31
266,Huarmey,20.931,-17.0347,293.15,77,0,6.69,MR,2021-04-02 21:22:32
267,Huarmey,-10.1667,123.5833,298.59,92,100,7.45,ID,2021-04-02 21:22:32
268,Huarmey,58.0006,102.6619,272.56,92,100,5.45,RU,2021-04-02 21:22:32
